2021,34,10.29,13.85,1.09,1.88,-0.79,1.15,1.6,-0.45,-0.34,0.82,1.05
2013,34,10.15,13.79,0.82,1.35,-0.53,0.95,1.32,-0.37,-0.16,0.85,1.1
2022,33,11.09,14.36,1.45,1.82,-0.36,1.29,1.63,-0.34,-0.02,1.03,1.18
2018,34,14.26,13.62,1.71,1.88,-0.18,1.72,1.67,0.05,-0.22,1.06,1.41
2014,34,13.56,12.76,1.26,1.53,-0.26,1.5,1.32,0.18,-0.44,1.21,1.48
2015,34,13.76,12.06,1.68,1.65,0.03,1.48,1.23,0.25,-0.22,1.44,1.55
2019,34,12.91,12.47,1.68,1.47,0.21,1.5,1.52,-0.02,0.23,1.47,1.36
2016,34,14.06,11.26,1.5,1.12,0.38,1.47,1.08,0.4,-0.01,1.56,1.66
2020,23,12.61,10.26,1.43,1.09,0.35,1.47,1.19,0.27,0.07,1.91,1.66
2017,34,12.97,11.88,2.09,1.09,1,1.56,1.22,0.33,0.67,2.03,1.62
